X,Y,capacite,couverture,surveillance,lumiere,proprietaire,gestionnaire
4.8127884,43.9498639005342,4.0,False,False,,,
5.7994682,45.2112130004467,9.0,True,False,,,
5.7147422,45.1693118004512,,False,False,,,
4.62063604355512,44.1583765889923,8.0,False,False,,,
7.7660114,48.6076607997896,6.0,False,False,,,
2.2936581,48.8517449997291,10.0,False,False,,Mairie de Paris,
2.3271174,48.8873226997202,3.0,False,False,,Mairie de Paris,
0.6698499,47.3437953000883,3.0,False,False,,,
4.8323041,43.7878430005384,8.0,False,False,,,
3.1650634,50.7091916993026,8.0,False,False,,,
1.3652252,48.735364799758,4.0,False,False,,,
-1.44451181956453,43.6417534361157,200.0,False,False,,,
2.3899078,48.8859763997206,10.0,False,False,,Mairie de Paris,
0.3331438,46.5820341002431,22.0,True,False,,,
3.2779745,48.185924299893,,False,False,,,
2.3099709,48.8166919997378,2.0,False,False,,,
7.3352134,47.7511882999963,10.0,False,False,,,
2.1332225,48.6773329997723,6.0,False,False,,,
2.4043855,48.8257563997355,40.0,False,False,,,
4.1293292,45.9940557003434,2.0,False,False,,,
5.7528684,45.1841303004496,6.0,False,False,,,
4.9711201,44.0822132005297,6.0,False,False,,,COVE
2.3451712,48.8909769997194,10.0,False,False,,,
7.1226681,49.069835999675,2.0,False,False,,,
-3.5712971,47.8646071999697,4.0,True,False,,,
1.9788399,47.9106574999589,12.0,True,False,,,
3.5850922,47.7977941999854,12.0,False,False,,,
3.6987954,43.410241200542,6.0,False,False,,,
2.3984118,48.8382485997324,12.0,False,False,,Mairie de Paris,
4.8865002,45.7647978003774,10.0,False,False,,,
5.1461298,45.6169156003977,6.0,False,False,,,
7.507678,48.7474874997549,,False,False,,,
4.8316402,45.7450938003802,4.0,False,False,,,
7.3184727,47.7552749999953,11.0,False,False,,,
2.2640106,48.9846480996961,6.0,True,False,,,
-0.225970026486126,44.8962291175706,20.0,False,False,,,
1.439158,43.6009840005412,20.0,False,False,,,
5.9104051,45.6855101003884,4.0,False,False,,,
1.4480922,43.6027814005412,8.0,False,False,,,
6.2376458,46.1904524003119,4.0,False,False,,,
5.7202334,45.1906766004489,8.0,False,False,,,
6.1120479,46.2578369003007,4.0,False,False,,,
5.9078275,45.5648409004045,4.0,False,False,,,
2.8887252,42.6992811005267,6.0,False,False,,,Ville de Perpignan
2.2847166,48.8411393997317,14.0,False,False,,,
2.3766746,48.9764460996982,6.0,False,False,,,
-1.2789779,47.0873524001432,4.0,False,False,,,
2.4947342,48.9317939997092,,False,False,,,
5.7106108,45.1937400004486,6.0,False,False,,,
6.1784249,48.6835908997708,8.0,False,False,,,
6.2626899,48.7151802997629,8.0,False,False,,,
-4.5713327,48.589695899794,6.0,False,False,,,
2.2455686,48.8995417997172,8.0,False,False,,,
7.7395285,48.5765996997973,30.0,False,False,,,
7.3433157,47.7486760999968,6.0,False,False,,,
2.0533723,48.0693044999211,4.0,False,False,,,
2.3446435,48.8513256997292,6.0,False,False,,,
5.0452545,47.3277865000918,2.0,False,False,,,
5.910563,45.5724646004035,,False,False,,,
0.7045969,47.3662245000834,4.0,False,False,,,
2.3918488,48.9009120997169,8.0,False,False,,,
6.8311517,47.51606430005,6.0,False,False,,,
2.1819082,43.9205250005351,26.0,False,False,,,
-1.69756712648905,48.0415425568157,,False,False,,,
4.8633966,45.7658354003772,10.0,False,False,,,Grand Lyon
2.3742496,48.8837947997211,8.0,False,False,,,Mairie de Paris
2.9991719,43.1817735005401,8.0,False,False,,,
5.9933895,47.2308658001127,8.0,False,False,,,
4.9811042,45.7692870003767,12.0,False,False,,,
3.0360064,42.8000271005305,,False,False,,,
1.5347405,43.5301676005417,8.0,False,False,,,Mairie de Labège
6.18358664419119,49.1074711221972,,True,False,,,
3.4426595,46.1273649003223,5.0,False,False,,,
2.3439289,48.8917230997192,10.0,False,False,,,
0.7001581,47.4152847000725,2.0,False,False,,,
0.6910238,47.3845582000793,2.0,False,False,,,
-0.5461107,47.4739969000595,30.0,False,False,,,
5.0220931,45.7368455003813,,False,False,,,
2.310738,48.723059999761,,True,False,,,
6.1765973,48.6905005997691,8.0,False,False,,,
4.7788155,45.7758903003758,2.0,False,False,,,Métropole de Lyon
2.4171018,48.9936919996939,10.0,True,False,,,
4.8678937,45.7636850003776,10.0,False,False,,,Grand Lyon
2.3352018,48.8272609997352,20.0,False,False,,,
3.6948558,43.3953987005419,8.0,False,False,,,
4.6728497,45.2439981004431,2.0,False,False,,,
5.7423415,45.1442621004538,12.0,False,False,,,
3.0389898,42.8082151005308,32.0,False,False,,,
3.853336,43.6355083005408,,False,False,,,
2.2842378,48.8203269997369,10.0,False,False,,,
-0.5427946,47.4766577000589,4.0,False,False,,,
2.1349713,48.8900534997196,56.0,True,False,,,
2.1256885,48.7970931997426,2.0,False,False,,,
0.6702421,44.4158038005134,5.0,False,False,,,
0.676903,47.3853220000791,4.0,False,False,,,
2.8965192,42.7002632005267,6.0,False,False,,,
0.2617432,46.5311450002525,8.0,False,False,,,
5.762403,45.2058784004473,8.0,False,False,,,
2.188969,48.92853649971,6.0,False,False,,,Houilles
4.357964,43.8149230005378,10.0,False,False,,,
5.0286658,47.3269910000919,6.0,False,False,,,
5.7112203,45.1738933004507,4.0,False,False,,,
5.7121825,45.1859625004494,18.0,False,False,,,
2.3362892,48.8306804997343,10.0,False,False,,,
2.4229433,48.787399099745,8.0,False,False,,,
5.7134685,45.1823787004498,8.0,False,False,,,
2.1342973,48.8101333997394,2.0,False,False,,,
4.8453756,45.7518142003792,10.0,False,False,,,Grand Lyon
4.8337983,45.7332149003818,4.0,True,False,,,
7.7135047,48.5986906997918,8.0,False,False,,,
1.4576226,43.5653937005415,,False,False,,,
-1.1014117,49.3181945996139,6.0,False,False,,,
2.3982345,48.7843210997458,6.0,False,False,,,
4.8313974,43.7862800005384,6.0,False,False,,,
1.4567487,43.6001543005412,6.0,False,False,,,
-1.1467635,46.1526278003182,,False,False,,,
2.4551528,48.779642199747,6.0,False,False,,,
0.6856871,47.3730642000818,2.0,False,False,,,
4.8679547,45.6983918003867,6.0,False,False,,,
2.75986794999759,48.7393154997655,,True,False,,,
0.7001359,47.3810487000801,10.0,False,False,,,
4.8754691,45.7483044003797,8.0,False,False,,,
4.8434608,45.7529398003791,10.0,False,False,,,Grand Lyon
1.3128137,43.6124155005411,2.0,False,False,,,
1.4715329,43.5701895005415,,False,False,,,
2.3546024,48.8799475997221,8.0,False,False,,,
6.02164,47.2464139001094,20.0,True,False,,,EFFIA
7.743912,48.5803123997963,14.0,False,False,,,
2.362245,48.8790917997223,20.0,False,False,,,
5.7541118,45.1849886004495,16.0,False,False,,,
0.4798267,47.6040419000301,6.0,False,False,,,
-1.1532658,46.1532427003181,18.0,False,False,,,
2.1521155,48.8781263997225,,False,False,,,
2.2248242,48.8403525997319,,False,False,,,
1.5241498,43.6448823005407,10.0,False,False,,,
1.4696014,43.619985200541,6.0,False,False,,,
1.4122562,43.6037828005412,8.0,False,False,,,
4.825901,45.7610336003779,10.0,False,False,,,Grand Lyon
1.3661765,44.0142153005322,,False,False,,,
4.9727635,45.7421748003806,10.0,False,False,,,
7.1394165,43.6359433005408,4.0,False,False,,,
4.8197873,45.760692200378,20.0,False,False,,,
6.1902676,48.6397479997816,8.0,False,False,,,
5.6642578,45.2552855004419,6.0,False,False,,,
2.3672145,48.8750607997233,8.0,False,False,,,
0.2217108,47.9916364999397,8.0,False,False,,,
-1.0419074,45.6200422003973,16.0,False,False,,,
2.2909163,48.8939202997186,16.0,False,False,,,
6.9700593,43.6153238005411,10.0,False,False,,,
2.2681178,48.7459050997553,8.0,False,False,,,
0.2054299,48.002727399937,10.0,False,False,,,
2.3465252,48.8808446997218,10.0,False,False,,,
2.4338935,48.8597009997271,10.0,False,False,,,
7.7463177,48.589728099794,10.0,False,False,,,
2.3072269,48.8596096997271,16.0,False,False,,,
